chào|Bé chào sếp nha
lượm|Lời chưa sếp
bot|Ai kiu em zậy
ngon|ngon như Sang vậy :))
kèo|Kèo ở đây nhé sếp /food
thơm|Thơm ngon mời bạn ăn nha
win|Đánh win nhiều zậy
alo|Nghe sếp
yêu| Quynhnhu
dm|Không chửi tục nhé
Lươn| Lucky0.2
Húp| Sướng nha anh iu
Thanh khoản|Nếu không thấy Sang bạn là bede
Chốt non không phải là non|Không chốt mới non
Bé Sườn Bì Chả|Em đây anh iu
/memu|/menu mấy sipa ơi
lươn|lk02
toe|thích khịa 😏😏
Gấp đôi canxi|Để làm gì ạ?
dính sl|Thôi thua keo này mình bày keo khác a
Đi ngủ|Chúc anh iu ngủ ngon, iu anh nhìu
done 2R|Ngon như Sang zậy
